Front,Back,Tags
"show up","появиться / прийти<br><i>He showed up two hours late.</i>","phrasal-verb A2"
"hang out","зависать тусоваться<br><i>We usually hang out after work.</i>","phrasal-verb A2"
"screw up","облажаться<br><i>I really screwed up the presentation.</i>","phrasal-verb A2"
"burn out","выгореть<br><i>If you keep working like that you'll burn out.</i>","phrasal-verb B1"
"mess up","напортачить<br><i>I totally messed up the interview.</i>","phrasal-verb A2"
"wrap up","завершать<br><i>Let's wrap up the project by Friday.</i>","phrasal-verb B1"
"iron out","уладить разногласия<br><i>We need to iron out the final details.</i>","phrasal-verb B1"
"fall behind","отставать<br><i>We're falling behind schedule.</i>","phrasal-verb B1"
"come up with","придумать<br><i>We need to come up with a new strategy.</i>","phrasal-verb B1"
"turn down","отклонить<br><i>They turned down our proposal.</i>","phrasal-verb B1"
"bring up","поднять вопрос<br><i>He brought up a crucial point.</i>","phrasal-verb B1"
"fizzle out","сойти на нет<br><i>The discussion fizzled out without a decision.</i>","phrasal-verb B1"
"wade through","продираться сквозь объём<br><i>I had to wade through dozens of emails.</i>","phrasal-verb B1"
"zero in on","сосредоточиться на главном<br><i>Let's zero in on the key issue.</i>","phrasal-verb B1"
"boil down to","сводиться к<br><i>It all boils down to communication.</i>","phrasal-verb C1"
"bottle up","сдерживать эмоции<br><i>Don't bottle up your feelings.</i>","phrasal-verb C1"
"gloss over","замять тему<br><i>He glossed over the problems in his report.</i>","phrasal-verb C1"
"creep up on","подкрасться незаметно<br><i>Burnout can creep up on you.</i>","phrasal-verb C1"
"beats me","понятия не имею<br><i>Why is he late? — Beats me.</i>","idiom B1"
"are you pulling my leg?","ты шутишь?<br><i>You won $1000? Are you pulling my leg?</i>","idiom B1"
"save your breath","не трать слова<br><i>Save your breath — he won't listen anyway.</i>","idiom B1"
"keep your cool","держать себя в руках<br><i>Try to keep your cool even if things go wrong.</i>","idiom B1"
"get the hang of it","понять суть / привыкнуть<br><i>Don't worry you'll get the hang of it.</i>","idiom B1"
"I see where you're coming from but…","я понимаю твою логику но…","idiom C1"
"there's a lot to unpack here","тут много всего давай разбираться","idiom C1"
"I'm on the fence about this","я пока не определился","idiom C1"
"that might backfire","это может плохо обернуться","idiom C1"
"not a hill I'm willing to die on","не тот вопрос за который я готов биться","idiom C1"
"affect vs effect","affect = ГЛАГОЛ влиять (A=Action)<br>effect = СУЩЕСТВИТЕЛЬНОЕ результат (E=End result)<br><i>The weather AFFECTS my mood. A positive EFFECT.</i>","grammar B2"
"beside vs besides","beside = рядом с (next to)<br>besides = кроме того (in addition to)","grammar B1"
"me neither vs me too","me too → на утверждение<br>me neither → на отрицание<br><i>I don't like coffee. — Me NEITHER ✅</i>","grammar A2"
"arrive IN vs arrive AT","arrive IN city (город)<br>arrive AT specific place (аэропорт)<br>НИКОГДА: arrive TO ❌","grammar A2"
"economic vs economical","economic = про экономику<br>economical = бережливый экономный","confusable B1"
"historic vs historical","historic = войдёт в историю<br>historical = исторического характера","confusable B1"
"conscious vs conscientious","conscious = осознающий / в сознании<br>conscientious = добросовестный ответственный","confusable B2"
"I wish + Past Perfect","Сожаление о прошлом:<br>✅ I wish I HADN'T gone there.<br>❌ I wish I didn't go there.","grammar C1"
"It's high time + Past Simple","Давно пора (говорим о настоящем Past Simple):<br>✅ It's time we STARTED.<br>❌ It's time we start.","grammar C1"
"quiet quitting","делать bare минимум без инициативы<br><i>He's been quiet quitting for months.</i>","modern-vocab B1"
"impostor syndrome","синдром самозванца","modern-vocab B1"
"hustle culture","культ работы и успешного успеха","modern-vocab B1"
"side hustle","подработка<br><i>His side hustle earns more than his main job.</i>","modern-vocab B1"
"hard pass","твёрдое нет спасибо<br><i>Monday 7am meeting? Hard pass.</i>","modern-vocab B1"
"sunday scaries","тревога в воскресенье вечером перед работой","modern-vocab B1"
"low-key","слегка / ненавязчиво<br><i>I'm low-key excited about this.</i>","modern-vocab A2"
"it's a vibe","в этом что-то есть (про атмосферу)","modern-vocab A2"
